1.670E+2	1.8296	8.300E-2	1.8296	8.300E-2	1.8296	8.300E-2	1.8296	8.300E-2
1.778E+2	1.8326	6.900E-2	1.8326	6.900E-2	1.8326	6.900E-2	1.8326	6.900E-2
1.884E+2	1.8315	5.700E-2	1.8315	5.700E-2	1.8315	5.700E-2	1.8315	5.700E-2
1.995E+2	1.8275	4.560E-2	1.8275	4.560E-2	1.8275	4.560E-2	1.8275	4.450E-2
2.113E+2	1.8222	3.790E-2	1.8222	3.790E-2	1.8222	3.790E-2	1.8222	3.550E-2
2.239E+2	1.8172	3.140E-2	1.8172	3.140E-2	1.8172	3.140E-2	1.8172	2.910E-2
2.371E+2	1.8120	2.620E-2	1.8120	2.620E-2	1.8120	2.620E-2	1.8120	2.440E-2
2.512E+2	1.8070	2.240E-2	1.8070	2.240E-2	1.8070	2.190E-2	1.8070	1.970E-2
2.661E+2	1.8025	1.960E-2	1.8025	1.960E-2	1.8025	1.830E-2	1.8025	1.670E-2
2.818E+2	1.7983	1.760E-2	1.7983	1.760E-2	1.7983	1.660E-2	1.7983	1.400E-2
2.985E+2	1.7948	1.665E-2	1.7948	1.665E-2	1.7948	1.540E-2	1.7948	1.235E-2
3.162E+2	1.7921	1.620E-2	1.7921	1.600E-2	1.7921	1.470E-2	1.7921	1.080E-2
3.548E+2	1.7384	1.550E-2	1.7884	1.500E-2	1.7884	1.350E-2	1.7884	8.900E-3
3.981E+2	1.7860	1.470E-2	1.7860	1.400E-2	1.7860	1.250E-2	1.7860	7.340E-3
4.467E+2	1.7843	1.390E-2	1.7843	1.310E-2	1.7843	1.150E-2	1.7843	6.400E-3
5.012E+2	1.7832	1.320E-2	1.7832	1.230E-2	1.7832	1.060E-2	1.7832	5.600E-3
5.623E+2	1.7825	1.250E-2	1.7325	1.150E-2	1.7825	9.770E-3	1.7825	5.000E-3
6.310E+2	1.7820	1.180E-2	1.7820	1.080E-2	1.7820	9.010E-3	1.7820	4.520E-3
7.943E+2	1.7817	1.060E-2	1.7817	9.460E-3	1.7816	7.660E-3	1.7815	3.680E-3
1.000E+3	1.7816	9.540E-3	1.7816	8.290E-3	1.7814	6.520E-3	1.7807	2.990E-3
1.259E+3	1.7819	8.560E-3	1.7819	7.270E-3	1.7816	5.540E-3	1.7801	2.490E-3
